"","Year","State","Name","Alcoholic Beverage Tax (T10)","Alcoholic Beverage Lic (T20)"
"227",2013,"24","MN STATE GOVT","80153","1966"
"228",2013,"25","MS STATE GOVT","41787","2927"
"229",2013,"26","MO STATE GOVT","36119","5035"
"230",2013,"27","MT STATE GOVT","31743","2079"
"231",2013,"28","NE STATE GOVT","28936","1068"
"232",2013,"29","NV STATE GOVT","40903","0"
"233",2013,"30","NH STATE GOVT","9682","4321"
"234",2013,"31","NJ STATE GOVT","136066","3960"
"235",2013,"32","NM STATE GOVT","46913","0"
"236",2013,"33","NY STATE GOVT","247303","61225"
"237",2013,"34","NC STATE GOVT","332656","15915"
"238",2013,"35","ND STATE GOVT","9154","347"
"239",2013,"36","OH STATE GOVT","98279","40844"
"240",2013,"37","OK STATE GOVT","111001","1224"
"241",2013,"38","OR STATE GOVT","16294","4421"
"242",2013,"39","PA STATE GOVT","336400","16740"
"243",2013,"40","RI STATE GOVT","12717","73"
"244",2013,"41","SC STATE GOVT","156759","12394"
"245",2013,"42","SD STATE GOVT","16027","835"
"246",2013,"43","TN STATE GOVT","140068","1320"
"247",2013,"44","TX STATE GOVT","987726","62458"
"248",2013,"45","UT STATE GOVT","48228","1936"
"249",2013,"46","VT STATE GOVT","23159","376"
"250",2013,"47","VA STATE GOVT","204049","12284"
"251",2013,"48","WA STATE GOVT","364795","257601"
"252",2013,"49","WV STATE GOVT","17690","1392"
"253",2013,"50","WI STATE GOVT","57290","1356"
"254",2013,"51","WY STATE GOVT","1802","0"
"255",2012,"00","US STATE GOVTS","5971042","459139"
"256",2012,"01","AL STATE GOVT","173251","4229"
"257",2012,"02","AK STATE GOVT","40230","1864"
"258",2012,"03","AZ STATE GOVT","68379","4918"
"259",2012,"04","AR STATE GOVT","48803","4170"
"260",2012,"05","CA STATE GOVT","346000","53169"
"261",2012,"06","CO STATE GOVT","38817","6221"
"262",2012,"07","CT STATE GOVT","60595","8378"
"263",2012,"08","DE STATE GOVT","17654","1465"
"264",2012,"10","FL STATE GOVT","527016","8268"
"265",2012,"11","GA STATE GOVT","175051","2357"
"266",2012,"12","HI STATE GOVT","48854","0"
"267",2012,"13","ID STATE GOVT","8099","1399"
"268",2012,"14","IL STATE GOVT","279270","11845"
"269",2012,"15","IN STATE GOVT","44155","12216"
"270",2012,"16","IA STATE GOVT","14727","14210"
"271",2012,"17","KS STATE GOVT","118202","4530"
"272",2012,"18","KY STATE GOVT","118253","5917"
"273",2012,"19","LA STATE GOVT","56869","0"
"274",2012,"20","ME STATE GOVT","17352","4827"
"275",2012,"21","MD STATE GOVT","31010","1201"
"276",2012,"22","MA STATE GOVT","77861","3003"
"277",2012,"23","MI STATE GOVT","149629","16424"
"278",2012,"24","MN STATE GOVT","79389","2030"
"279",2012,"25","MS STATE GOVT","42183","2918"
"280",2012,"26","MO STATE GOVT","34341","4965"
"281",2012,"27","MT STATE GOVT","34019","2030"
"282",2012,"28","NE STATE GOVT","28472","1405"
"283",2012,"29","NV STATE GOVT","41695","0"
"284",2012,"30","NH STATE GOVT","9723","4011"
"285",2012,"31","NJ STATE GOVT","135304","3960"
"286",2012,"32","NM STATE GOVT","44676","0"
"287",2012,"33","NY STATE GOVT","238932","59079"
"288",2012,"34","NC STATE GOVT","322970","16026"
"289",2012,"35","ND STATE GOVT","8463","325"
"290",2012,"36","OH STATE GOVT","98113","39735"
"291",2012,"37","OK STATE GOVT","103831","920"
"292",2012,"38","OR STATE GOVT","17322","3577"
"293",2012,"39","PA STATE GOVT","324024","16304"
"294",2012,"40","RI STATE GOVT","12871","63"
"295",2012,"41","SC STATE GOVT","153951","9086"
"296",2012,"42","SD STATE GOVT","15449","811"
"297",2012,"43","TN STATE GOVT","133055","1320"
"298",2012,"44","TX STATE GOVT","941461","68642"
"299",2012,"45","UT STATE GOVT","45823","1936"
"300",2012,"46","VT STATE GOVT","22403","391"
"301",2012,"47","VA STATE GOVT","198107","12038"
"302",2012,"48","WA STATE GOVT","349164","33912"
"303",2012,"49","WV STATE GOVT","17204","1337"
"304",2012,"50","WI STATE GOVT","56278","1707"
